,id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,0,0.4612586448096798,0,216.58152323913572,0.09990009990008275,217,262.74774169921875,0.12119466726298543,21.073472595722446,0.21094546068318165,0,1,0
1,1,0,0.45948107667668414,218,263.2372174072265,0.12095252007563317,434,338.0935974121094,0.1553476101564094,34.11878995053054,0.2820841593808196,0,1,1
2,2,0,0.4495151802797293,447,344.8987534179687,0.15503722532091047,471,359.3790612487793,0.1615463435060049,6.192534616245907,0.03994224357038872,0,1,2
3,3,0,0.4648640065072731,477,346.8187928771972,0.16122357358889872,488,366.917535736084,0.17056675572005156,9.01139180183261,0.05589376045472095,0,1,3
4,4,0,0.46624090707296983,497,365.10301953124997,0.17022596300131454,529,390.23647860717773,0.18194420975877212,11.366076584681846,0.06677052304056008,0,1,4
5,5,0,0.4628326579645975,530,392.32470254516596,0.18158068486411594,542,390.0019111633301,0.18050562115499688,-1.437150015171487,-0.007914663480021017,0,1,5
6,6,0,0.4669849406363913,549,385.7618413085937,0.18014497056324785,680,403.0665007324219,0.188225985917048,7.712644397289078,0.04281354274378643,0,1,6
7,7,0,0.5024723599302059,691,373.8512304382324,0.18784991002110019,696,375.338458190918,0.18859720085975548,0.3708437277647697,0.0019741490838249306,0,1,7
8,8,0,0.5287790559798936,707,355.9527956848144,0.18822038327559198,716,342.97927871704104,0.1813602592206618,-7.229704697454587,-0.038410848876382235,0,1,8
9,9,0,0.5148241819019201,718,351.5722598571777,0.1809979010603513,730,370.2746488952637,0.19062634319652486,9.256817891887183,0.051143233361579776,0,1,9
10,10,0,0.5184202122510728,736,366.971554901123,0.19024547138192816,754,383.1025979003906,0.1986081301174579,7.973805134012116,0.041913245430181635,0,1,10
11,11,0,0.5397210709181451,765,367.24767913818357,0.19821131067664055,800,393.0002830810547,0.21211053365564103,13.488901134644953,0.06805313525547992,0,1,11
12,12,0,0.5515012841630584,810,383.8372501831055,0.21168673638558744,868,486.6487121582031,0.26838738969154763,56.220579179870704,0.26558385347989694,0,1,12
13,13,0,0.5387008801057812,869,497.21684341430665,0.267851151150694,875,501.4545254516602,0.2701339941938362,1.7448578977862805,0.0065142818699500124,0,1,13
14,14,0,0.5398133603297511,878,499.4212550964355,0.2695942659336765,880,500.34967437744143,0.2700954390655834,-0.03851657312452339,-0.00014286866596040413,0,1,14
15,15,0,0.5323939637237626,882,506.3088731384277,0.2695557878386694,884,503.50788995361336,0.26806456129859224,-2.028846889224189,-0.007526630778332207,0,1,15
16,16,0,0.5339349235496837,885,501.05163751220704,0.26752896776952184,889,512.183287902832,0.2734725446698243,5.402575387860827,0.02019435664445556,0,1,16
17,17,0,0.5515218389772429,906,494.8600883789062,0.2729261459791701,925,510.9179834289551,0.28178242578728185,8.301571236340083,0.03041691446071094,0,1,17
18,18,0,0.5404698266661697,934,520.3240034179687,0.2812194239375003,951,536.5075111083985,0.28996612153385426,8.17551205082587,0.0290716478127812,0,1,18
19,19,0,0.5387182500812113,954,537.1764713745116,0.2893867686436238,955,536.7722607421875,0.289169012999167,-0.796311426152641,-0.002751720232009442,0,1,19
20,20,0,0.5367349817392185,958,537.6792319335937,0.28859125273339714,962,546.3857455444336,0.29326434315736083,4.091234828035638,0.014176572537403358,0,1,20
21,21,0,0.568511773184469,983,514.8150209350586,0.29267840041376303,993,549.7509072875977,0.31253986311184273,19.256244434527453,0.06579318599289496,0,1,21
22,22,0,0.5742073000827914,1003,543.2104534301757,0.3119154078408428,1017,563.8733673706055,0.32378020386646733,11.229100413869967,0.036000467215130325,0,1,22
23,23,0,0.5754201258778612,1024,561.5606334228515,0.32313329037219773,1034,574.7797474365234,0.33073983462196954,6.95267112474664,0.021516418555134358,0,1,23
24,24,0,0.5754351922605047,1043,573.6163171997069,0.3300790157715596,1053,589.426889831543,0.33917697567372523,8.428703910703943,0.025535412758673652,0,1,24
25,25,0,0.5798278034484997,1057,583.792804321289,0.3384992993986202,1060,587.7686986083984,0.3408046334498909,1.6260301183895376,0.004803643969952656,0,1,25
26,26,0,0.5725711288568702,1062,594.0287380371093,0.34012370511129575,1067,599.7607229003906,0.3434056741550892,2.5984396644931604,0.007639689987625638,0,1,26
27,27,0,0.5912637260452406,1078,579.6390575561522,0.3427195489319388,1080,588.9348286743163,0.3482158011997917,4.8053169176576995,0.014021134576747198,0,1,27
28,28,0,0.5953809300298493,1084,583.6936452026366,0.3475200653332422,1084,583.1105346679688,0.0,-0.6946929577739525,-0.001999000999000642,0,0,28
