,id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,0,0.8373913353326722,71,119.29918030548095,0.09990009990008275,83,125.33453908538819,0.10495405704801822,4.849102990970196,0.048539520939611655,0,1,0
1,1,0,0.8693172428825564,217,120.49037274932861,0.10474435863233111,224,121.07879695129395,0.10525588593723574,0.30152706032830107,0.0028786949890703727,0,1,1
2,2,0,0.8686420490333315,228,120.93080755615235,0.1050455844668221,307,145.57000732421875,0.12644822943990647,21.17115115916806,0.2015425138203014,0,1,2
3,3,0,0.891643798380007,315,141.53138938903808,0.1261955856248278,321,141.4584060974121,0.12613051052547808,-0.3174011955139594,-0.002515152918720468,0,1,3
4,4,0,0.9055429767859946,330,139.00886511230468,0.1258785015134265,336,141.77807817077635,0.12838614294976228,2.2533767918599237,0.017901204453242926,0,1,4
5,5,0,0.9168514074527409,341,139.7496106109619,0.12812962717961796,347,140.38946878051757,0.12871628204296015,0.32980895410467626,0.0025740257063442207,0,1,5
6,6,0,0.9340619873971233,359,137.52738938903806,0.12845910665424753,367,138.6212345123291,0.12948082580402884,0.7637792173076096,0.005945699275048348,0,1,6
7,7,0,0.9417349584270185,370,137.21708183288573,0.12922212285536716,411,148.8410154876709,0.14016878753251694,10.677273766759626,0.0826272895911953,0,1,7
8,8,0,0.9412607252976065,414,148.6184712219238,0.1398887300149454,428,152.25759365844726,0.14331409303901835,3.1421602009948995,0.022461853793787803,0,1,8
9,9,0,0.9280045800846788,432,154.12397122192382,0.14302775119477928,434,169.3404845123291,0.1571487452212,13.820817529999495,0.09663032114080716,0,1,9
10,10,0,0.982061490686125,657,159.69953327941892,0.1568347617142365,677,165.25457817077637,0.16229015738109942,5.13627074773951,0.032749568345678506,0,1,10
11,11,0,1.015910672975024,688,159.4292742767334,0.16196590132238953,691,158.17167182922364,0.16068828957361123,-1.600265939680694,-0.009880264466872795,0,1,11
12,12,0,1.0571930455379333,706,151.69153327941893,0.16036723404997133,759,165.51431268310546,0.17498058030557004,14.27799844122683,0.08903314025342776,0,1,12
13,13,0,1.035288813312415,760,168.67850450134276,0.17463096875647466,793,181.48832817077636,0.1878928359019772,12.89934334081073,0.07386629893118547,0,1,13
14,14,0,1.0962027983729827,803,171.06088938903807,0.18751742564040796,839,184.92489060974123,0.20271518257521606,14.807524326565643,0.07896612422015176,0,1,14
15,15,0,1.0860769152751448,847,186.27608633422852,0.20231015723538803,856,188.92089060974124,0.20518261810446084,2.4649680937154965,0.012184104482936522,0,1,15
16,16,0,1.0911462523505646,868,187.66747572326656,0.20477266282350115,880,201.42837487792968,0.2197878163651176,14.590593062396119,0.07125264115439993,0,1,16
17,17,0,1.095483435763761,886,200.23002877807616,0.2193486798688582,902,215.39439060974124,0.2359609870694009,16.15699753357902,0.07365896864862335,0,1,17
18,18,0,1.0703106414794967,903,220.01980305480956,0.23548953654577076,907,219.37040634155275,0.2347944803330452,-1.1653402296193693,-0.004948586025149337,0,1,18
19,19,0,1.0806540231725046,914,216.83661511230466,0.23432536049219266,915,215.96381268310546,0.23338216303567108,-1.4109049800767226,-0.006021136496335689,0,1,19
20,20,0,1.0926144557200117,919,213.17296672058103,0.2329158650076124,928,219.80996878051758,0.24016754940095797,6.778600978921581,0.029103217072394733,0,1,20
21,21,0,1.1077361299724156,936,216.37616366577143,0.23968769415736801,939,217.00278121948242,0.24038182106132025,0.21405738870190236,0.000893067912620219,0,1,21
22,22,0,1.1191309019722746,945,214.36414389038086,0.23990153770253642,950,215.25453121948243,0.2408979976772785,0.5156604393422994,0.0021494670033405314,0,1,22
23,23,0,1.129817030865358,955,212.79258183288573,0.2404166829965675,965,223.02675,0.2519794204885505,11.070341388460678,0.04604647751760647,0,1,23
24,24,0,1.128694124790618,973,222.80258183288572,0.2514759651029408,980,225.54423426818846,0.25457045209890306,2.5884405787422513,0.010292993915671006,0,1,24
25,25,0,1.1507957755756613,984,220.77055305480954,0.2540618198269442,993,232.22754670715332,0.2672464797228916,12.66335159636453,0.04984358375842779,0,1,25
26,26,0,1.1437908484154162,1000,233.1829469451904,0.2667125207224217,1018,245.4842657318115,0.2807826565740241,13.5226406742814,0.050701184322552675,0,1,26
27,27,0,1.1426192267535933,1025,245.24499999999998,0.2802216522651406,1038,250.6191251220703,0.28636223095664204,5.573994808235269,0.019891377997301844,0,1,27
28,28,0,1.2046098505973797,1054,237.2470045013428,0.2857900786469827,1060,249.59015634155276,0.3006587609411745,14.28223345454792,0.04997456007626851,0,1,28
29,29,0,1.2205639086285498,1064,245.8355863342285,0.3000580441360512,1070,245.11464060974123,0.299178083804708,-1.4791964593299727,-0.0049297010636350546,0,1,29
