Date,close,high,low,open,volume
2015-01-02,171.0937042236328,172.30135631201117,170.05263360150084,171.88492806315838,121465900
2015-01-05,168.00379943847656,170.21086388624565,167.6956466272282,170.0442951425541,169632600
2015-01-06,166.42137145996094,168.83664992952563,165.6218237266185,168.31194633238277,209151400
2015-01-07,168.4951629638672,168.83663711095127,167.304184505805,167.75392133465348,125346700
2015-01-08,171.4851531982422,171.70170402783404,169.89440689586533,169.9110548763093,147217800
2015-01-09,170.11094665527344,171.91824380464675,169.49462824659662,171.9015831156603,158567300
2015-01-12,168.77835083007812,170.40243103888076,168.1703691931777,170.24418628348926,144396100
2015-01-13,168.3035888671875,171.13529497229362,166.99599848308458,170.00260998857567,214553300
2015-01-14,167.28756713867188,167.48745728568636,165.3803312308905,166.27980512149963,192991100
2015-01-15,165.75509643554688,168.2453291207079,165.63849703933582,167.9288523072099,176613900
2015-01-16,167.9288330078125,168.08707775056558,165.363633877596,165.54686329463857,211879600
2015-01-20,168.28697204589844,168.83666035223123,166.71287386567698,168.57014018853744,130991100
2015-01-21,169.13645935058594,169.6195175307954,167.35414737247856,167.82054486830052,122942700
2015-01-22,171.65174865722656,171.78499605354645,168.5118757477221,169.89442074015338,174356000
2015-01-23,170.71060180664062,171.651733740292,170.57734171351828,171.39353754422424,117516800
2015-01-26,171.1103515625,171.20196627843544,169.77778889516196,170.49404593564412,92009700
2015-01-27,168.8533172607422,170.002650492903,168.02046083040912,169.04487068137223,134044600
2015-01-28,166.68789672851562,170.144246064734,166.4963432949344,170.04430735301884,168514300
2015-01-29,168.2287139892578,168.48689750925283,165.4719478898821,166.88781431682065,173585400
2015-01-30,166.1131591796875,168.3785289598678,165.8466518158656,167.04596672400535,197729700
2015-02-02,168.17039489746094,168.26200962730215,164.7889993006753,166.61295719854306,163107000
2015-02-03,170.602294921875,170.610631618896,168.6950594358642,169.0698422588014,124212900
2015-02-04,169.95263671875,171.0520130194609,169.4945632601205,169.83603735731498,134306700
2015-02-05,171.66836547851562,171.81828624618925,170.54401690867692,170.61897093832337,97953200
2015-02-06,171.19363403320312,172.60116336997706,170.6689304392062,172.03481441467594,125672000
2015-02-09,170.42739868164062,171.2685790187147,170.0192944958078,170.5439980621101,87219000
2015-02-10,172.24298095703125,172.50116433410162,170.4689932639812,171.46843082582018,96164200
2015-02-11,172.3429412841797,172.776030101501,171.42680701522008,172.07643388701297,91087800
2015-02-12,174.00035095214844,174.05865699795564,172.3762835755281,173.14250990941105,97545900
2015-02-13,174.71656799316406,174.76653733050065,173.8670511333121,174.1252472235123,93670400
2015-02-17,174.99143981933594,175.16634523613948,174.15025952117105,174.40010624749218,76968200
