Date,close,high,low,open,volume
2015-01-02,85.45039367675781,85.47313303118348,85.06380730206486,85.06380730206486,714500
2015-01-05,85.5186538696289,85.68541692844028,85.41253297459532,85.4731751383731,866400
2015-01-06,85.5262222290039,86.06440833638271,85.45042242769709,85.68540354669447,1043400
2015-01-07,85.59441375732422,85.62473482506988,85.16993037518982,85.34426928578688,682500
2015-01-08,85.45797729492188,85.55652221716893,85.35185644261942,85.4504013648665,567600
2015-01-09,85.71571350097656,85.79151329244725,85.35944811959561,85.3670298336887,467400
2015-01-12,85.69298553466797,85.76878533621617,85.53379843331632,85.62476166506667,421600
2015-01-13,85.5564956665039,85.62471371474857,85.27603019636818,85.33667231690849,345300
2015-01-14,86.06438446044922,86.1705053094696,85.84456104943483,85.84456104943483,450900
2015-01-15,86.74662017822266,86.76177782558298,86.17811298016508,86.1932706275254,691300
2015-01-16,86.26151275634766,86.73905682185581,86.26151275634766,86.610196550979,1520200
2015-01-20,86.46611022949219,86.6859335940554,86.33725005193313,86.36757111426783,654800
2015-01-21,86.1098861694336,86.65565398624148,86.0568257307525,86.48889095519972,664300
2015-01-22,86.13260650634766,86.3903327109823,85.74602587412488,86.38275099765849,676100
2015-01-23,86.65567016601562,86.67082781568861,86.39794963948874,86.41310728916173,727100
2015-01-26,86.51161193847656,86.69353836086671,86.38275172664817,86.56467236588547,368100
2015-01-27,86.78450775146484,86.87547097519848,86.6556475218741,86.76176839131985,368700
2015-01-28,87.11805725097656,87.2241781490024,86.75421004120571,86.79969455689907,426200
2015-01-29,87.01948547363281,87.07254590277033,86.76934097206177,86.9512616172257,309700
2015-01-30,87.64865112304688,87.70929328118815,87.35302783105128,87.53495430547511,1206900
2015-02-02,87.58800506591797,87.74718637607674,87.45913904832422,87.54252056076271,1182900
2015-02-03,87.18624114990234,87.2923677894539,87.08770200700448,87.26962264895168,1465900
2015-02-04,87.36815643310547,87.42121685453807,86.83754643562716,86.95124899102623,531700
2015-02-05,86.98916625976562,87.22414733908472,86.92852411569838,87.19382626705111,341500
2015-02-06,86.3069839477539,86.54954681773837,86.1781236881398,86.42068655812427,556300
2015-02-09,86.1553726196289,86.44341418137289,86.1553726196289,86.39793545666443,360200
2015-02-10,85.86730194091797,86.22356727606636,85.79908387239303,86.18566449367297,457700
2015-02-11,85.7081298828125,85.90521396278062,85.503469872073,85.88247460415992,1501500
